id,node,batchsize,delay,tx,send,round
8,16,3000,3.064116954803467,84000,330,6
4,16,3000,1.4397499561309814,12000,230,0
4,16,3000,2.0259017944335938,24000,320,1
4,16,3000,1.4687402248382568,33000,240,2
4,16,3000,1.6694386005401611,42000,250,3
4,16,3000,2.4896132946014404,51000,310,4
4,16,3000,1.628105878829956,60000,260,5
4,16,3000,2.0614736080169678,69000,310,6
5,16,3000,1.4586853981018066,12000,230,0
5,16,3000,2.1347711086273193,24000,320,1
5,16,3000,1.4905540943145752,33000,240,2
5,16,3000,1.7329788208007812,42000,250,3
5,16,3000,2.4623000621795654,51000,310,4
5,16,3000,1.4233598709106445,60000,260,5
5,16,3000,1.9069759845733643,69000,310,6
7,16,4000,1.5740430355072021,16000,240,0
7,16,4000,2.2496540546417236,32000,350,1
7,16,4000,1.5012211799621582,48000,190,2
7,16,4000,1.693925380706787,64000,270,3
7,16,4000,2.1853384971618652,80000,210,4
7,16,4000,1.7049503326416016,96000,310,5
7,16,4000,2.4145491123199463,112000,290,6
12,16,4000,1.1675586700439453,16000,240,0
12,16,4000,2.3593006134033203,32000,350,1
12,16,4000,1.5183320045471191,48000,190,2
12,16,4000,1.8036167621612549,64000,260,3
12,16,4000,2.2911570072174072,80000,220,4
12,16,4000,2.136644124984741,96000,310,5
12,16,4000,2.3168795108795166,112000,290,6
6,16,4000,1.8734076023101807,16000,220,0
6,16,4000,2.24381422996521,32000,320,1
6,16,4000,1.4714434146881104,48000,230,2
6,16,4000,1.8900620937347412,64000,280,3
6,16,4000,2.6178479194641113,80000,320,4
6,16,4000,1.8425421714782715,96000,240,5
6,16,4000,2.273216962814331,112000,310,6
1,16,4000,1.4613096714019775,16000,292,0
1,16,4000,2.1294429302215576,32000,268,1
1,16,4000,1.8137664794921875,48000,244,2
1,16,4000,1.8785910606384277,64000,244,3
1,16,4000,1.8360235691070557,80000,256,4
1,16,4000,2.597327947616577,96000,244,5
1,16,4000,2.1977899074554443,112000,304,6
0,16,4000,1.472581148147583,16000,250,0
0,16,4000,1.872877836227417,32000,300,1
0,16,4000,1.5308125019073486,48000,280,2
0,16,4000,2.048823833465576,64000,300,3
0,16,4000,2.021815776824951,80000,200,4
0,16,4000,2.4913597106933594,96000,300,5
0,16,4000,1.9068703651428223,112000,320,6
3,16,4000,1.690361499786377,16000,320,0
3,16,4000,2.151176691055298,32000,240,1
3,16,4000,1.6330132484436035,48000,250,2
3,16,4000,1.8000340461730957,64000,230,3
3,16,4000,1.6261441707611084,80000,260,4
3,16,4000,2.9082798957824707,96000,250,5
3,16,4000,2.5574629306793213,112000,300,6
15,16,4000,1.1298577785491943,16000,320,0
15,16,4000,2.2467899322509766,32000,240,1
15,16,4000,1.5777595043182373,48000,260,2
15,16,4000,1.7192888259887695,64000,220,3
15,16,4000,2.3843696117401123,80000,260,4
15,16,4000,2.394577741622925,96000,240,5
15,16,4000,3.1860039234161377,112000,310,6
11,16,4000,1.3513603210449219,16000,320,0
11,16,4000,2.26309871673584,32000,240,1
11,16,4000,1.58437180519104,48000,250,2
11,16,4000,2.3034346103668213,64000,230,3
11,16,4000,1.36765718460083,80000,260,4
11,16,4000,2.096175193786621,96000,250,5
11,16,4000,2.340770959854126,112000,300,6
10,16,4000,1.327364444732666,16000,250,0
10,16,4000,2.2029409408569336,32000,300,1
10,16,4000,1.610208511352539,48000,280,2
10,16,4000,2.3882675170898438,64000,300,3
10,16,4000,1.5942459106445312,80000,200,4
10,16,4000,2.0638580322265625,96000,300,5
10,16,4000,2.2192859649658203,112000,320,6
2,16,4000,1.7645585536956787,16000,244,0
2,16,4000,1.9941201210021973,32000,316,1
2,16,4000,1.6914708614349365,48000,220,2
2,16,4000,1.8371403217315674,64000,268,3
2,16,4000,1.6875288486480713,80000,208,4
2,16,4000,2.4257140159606934,96000,328,5
2,16,4000,1.7995779514312744,112000,292,6
13,16,4000,1.7791237831115723,16000,244,0
13,16,4000,2.3884830474853516,32000,292,1
13,16,4000,1.7592811584472656,48000,232,2
13,16,4000,1.9187400341033936,64000,268,3
13,16,4000,2.2062506675720215,80000,316,4
13,16,4000,2.1797139644622803,96000,256,5
13,16,4000,2.9848573207855225,112000,316,6
