id,shard_id,node,shard,batchsize,delay,tx,tps,total_tx,total_tps,send,round
5,1,16,4,2000,2.15893292427063,8000,3705.5342989420137,32000,14822.137195768055,330,4
5,1,16,4,2000,1.421445608139038,8000,5628.073247539615,32000,22512.29299015846,250,5
5,1,16,4,2000,2.4706320762634277,8000,3238.0377786154068,32000,12952.151114461627,310,6
7,1,16,4,3000,1.4390177726745605,12000,8339.021399087227,48000,33356.08559634891,240,0
7,1,16,4,3000,2.0300955772399902,12000,5911.051742851713,48000,23644.206971406853,330,1
7,1,16,4,3000,1.490269422531128,9000,6039.176449526873,36000,24156.70579810749,210,2
7,1,16,4,3000,1.8749628067016602,9000,4800.0952167325095,36000,19200.380866930038,250,3
7,1,16,4,3000,2.5301427841186523,9000,3557.1115023593625,36000,14228.44600943745,210,4
7,1,16,4,3000,1.4756176471710205,9000,6099.140937528326,36000,24396.563750113302,350,5
7,1,16,4,3000,2.0850768089294434,9000,4316.387751979716,36000,17265.551007918864,320,6
12,3,16,4,3000,1.183403491973877,12000,10140.243865585022,48000,40560.97546234009,240,0
12,3,16,4,3000,2.13565993309021,12000,5618.872093852744,48000,22475.488375410976,330,1
12,3,16,4,3000,1.5485172271728516,12000,7749.34872497903,48000,30997.39489991612,200,2
12,3,16,4,3000,1.3948032855987549,12000,8603.363731573585,48000,34413.45492629434,260,3
12,3,16,4,3000,2.046405076980591,12000,5863.941667749202,48000,23455.766670996807,210,4
12,3,16,4,3000,2.366533041000366,12000,5070.708835287351,48000,20282.835341149403,350,5
12,3,16,4,3000,2.2192182540893555,12000,5407.309523471876,48000,21629.238093887503,320,6
6,1,16,4,3000,1.7085142135620117,12000,7023.646572410825,48000,28094.5862896433,230,0
6,1,16,4,3000,2.022245168685913,12000,5933.998600079628,48000,23735.994400318512,320,1
6,1,16,4,3000,1.5581142902374268,9000,5776.212987962887,36000,23104.85195185155,240,2
6,1,16,4,3000,1.9066839218139648,9000,4720.237002595404,36000,18880.948010381617,260,3
6,1,16,4,3000,2.5135953426361084,9000,3580.528594774264,36000,14322.114379097056,300,4
6,1,16,4,3000,1.2785272598266602,9000,7039.34932229775,36000,28157.397289191,260,5
6,1,16,4,3000,2.0813868045806885,9000,4324.040096820504,36000,17296.160387282016,310,6
1,0,16,4,3000,1.706038236618042,12000,7033.840005712974,48000,28135.360022851895,292,0
1,0,16,4,3000,1.7852919101715088,12000,6721.5898596925745,48000,26886.359438770298,268,1
1,0,16,4,3000,1.718770980834961,12000,6981.732955585814,48000,27926.931822343256,232,2
1,0,16,4,3000,1.7551391124725342,12000,6837.064888318239,48000,27348.259553272957,304,3
1,0,16,4,3000,1.7488815784454346,12000,6861.528046208076,48000,27446.112184832306,328,4
1,0,16,4,3000,2.3214852809906006,12000,5169.104494549921,48000,20676.417978199683,220,5
1,0,16,4,3000,1.7946598529815674,12000,6686.50384086084,48000,26746.01536344336,268,6
0,0,16,4,3000,1.4198122024536133,12000,8451.821993966876,48000,33807.287975867504,260,0
0,0,16,4,3000,1.682448387145996,12000,7132.462482463475,48000,28529.8499298539,290,1
0,0,16,4,3000,1.6322295665740967,12000,7351.907014640668,48000,29407.628058562674,280,2
0,0,16,4,3000,1.8316681385040283,12000,6551.405108679084,48000,26205.620434716337,290,3
0,0,16,4,3000,1.4197559356689453,12000,8452.156950726865,48000,33808.62780290746,230,4
0,0,16,4,3000,2.3779945373535156,12000,5046.268951212509,48000,20185.075804850036,240,5
0,0,16,4,3000,1.9798190593719482,12000,6061.159954590356,48000,24244.639818361426,350,6
3,0,16,4,3000,1.8939473628997803,12000,6335.973340688344,48000,25343.893362753377,280,0
3,0,16,4,3000,1.8697736263275146,12000,6417.889219867543,48000,25671.556879470172,270,1
3,0,16,4,3000,1.6023683547973633,12000,7488.914745522124,48000,29955.658982088495,230,2
3,0,16,4,3000,1.7235934734344482,12000,6962.198560713211,48000,27848.794242852844,320,3
3,0,16,4,3000,1.384138584136963,12000,8669.652112531949,48000,34678.608450127795,320,4
3,0,16,4,3000,2.3300957679748535,12000,5150.002916158897,48000,20600.01166463559,220,5
3,0,16,4,3000,1.979485273361206,12000,6062.182003316325,48000,24248.7280132653,280,6
15,3,16,4,3000,1.1462500095367432,12000,10468.920305483616,48000,41875.681221934465,280,0
15,3,16,4,3000,2.095261573791504,12000,5727.208550045266,48000,22908.834200181063,270,1
15,3,16,4,3000,1.7722651958465576,12000,6770.995688525025,48000,27083.9827541001,230,2
15,3,16,4,3000,1.9389560222625732,12000,6188.897459364326,48000,24755.589837457304,330,3
15,3,16,4,3000,2.4929137229919434,12000,4813.64432684732,48000,19254.57730738928,310,4
15,3,16,4,3000,2.992851972579956,12000,4009.5534660391268,48000,16038.213864156507,220,5
15,3,16,4,3000,2.5473079681396484,12000,4710.855597395178,48000,18843.42238958071,270,6
11,2,16,4,3000,1.3336975574493408,12000,8997.542158620778,48000,35990.16863448311,270,0
11,2,16,4,3000,2.198234796524048,12000,5458.925506490464,48000,21835.702025961855,280,1
11,2,16,4,3000,1.5661437511444092,12000,7662.131902790778,48000,30648.527611163114,230,2
11,2,16,4,3000,2.176017999649048,12000,5514.660265648254,48000,22058.641062593015,320,3
11,2,16,4,3000,1.3491389751434326,12000,8894.561806521251,48000,35578.247226085005,320,4
11,2,16,4,3000,1.8193151950836182,12000,6595.888404839307,48000,26383.55361935723,220,5
11,2,16,4,3000,2.3343100547790527,12000,5140.705269821504,48000,20562.821079286015,280,6
10,2,16,4,3000,1.7134346961975098,12000,7003.476716463518,48000,28013.90686585407,260,0
10,2,16,4,3000,2.2673897743225098,12000,5292.429266417403,48000,21169.71706566961,290,1
10,2,16,4,3000,1.5379345417022705,12000,7802.672789127774,48000,31210.691156511097,280,2
10,2,16,4,3000,2.1548736095428467,12000,5568.7720833639905,48000,22275.088333455962,290,3
10,2,16,4,3000,1.3222112655639648,12000,9075.705458372131,48000,36302.821833488524,230,4
10,2,16,4,3000,1.7814826965332031,12000,6735.962141732958,48000,26943.848566931832,240,5
10,2,16,4,3000,2.1853322982788086,12000,5491.155742973886,48000,21964.622971895544,340,6
2,0,16,4,3000,1.4120042324066162,12000,8498.558095358703,48000,33994.23238143481,244,0
2,0,16,4,3000,1.88671875,12000,6360.248447204969,48000,25440.993788819876,316,1
2,0,16,4,3000,1.6077203750610352,12000,7463.984525010722,48000,29855.938100042888,220,2
2,0,16,4,3000,1.7522661685943604,12000,6848.274660022801,48000,27393.098640091204,268,3
2,0,16,4,3000,1.4420866966247559,12000,8321.275016326226,48000,33285.100065304905,208,4
2,0,16,4,3000,2.3528528213500977,12000,5100.191516915301,48000,20400.766067661203,328,5
2,0,16,4,3000,1.7832636833190918,12000,6729.234780167256,48000,26916.939120669023,292,6
13,3,16,4,3000,1.835728406906128,12000,6536.914695471962,48000,26147.658781887847,244,0
13,3,16,4,3000,2.0739920139312744,12000,5785.94320488914,48000,23143.77281955656,292,1
13,3,16,4,3000,1.7334840297698975,12000,6922.4750813498285,48000,27689.900325399314,232,2
13,3,16,4,3000,1.814255714416504,12000,6614.28259789685,48000,26457.1303915874,268,3
13,3,16,4,3000,2.3813459873199463,12000,5039.166951756237,48000,20156.667807024947,316,4
13,3,16,4,3000,2.5568838119506836,12000,4693.212864782083,48000,18772.85145912833,256,5
